"","saison","division","HF","journee","code_rencontre","diff_point","diff_point_norm"
"1","2021","N1","H","J1","PADEKUF",0,0
"2","2021","N1","H","J1","PADEKUG",0,0
"3","2021","N1","H","J1","PADEKUH",NA,NA
"4","2021","N1","H","J1","PADEKUI",0,0
"5","2021","N1","H","J1","PADEKUJ",0,0
"6","2021","N1","H","J1","PADEKUK",0,0
"7","2021","N1","H","J2","PADEKUL",NA,NA
"8","2021","N1","H","J2","PADEKUM",-2,-0.807105101612682
"9","2021","N1","H","J2","PADEKUO",-2,-0.807105101612682
"10","2021","N1","H","J2","PADEKUP",-2,-0.807105101612682
"11","2021","N1","H","J2","PADEKUQ",-2,-0.807105101612682
"12","2021","N1","H","J3","PADEKUT",NA,NA
"13","2021","N1","H","J3","PADEKUU",1,0.682221028637269
"14","2021","N1","H","J3","PADEKUV",3,1.40992345918369
"15","2021","N1","H","J3","PADEKUW",0,0
"16","2021","N1","H","J4","PADEKUX",NA,NA
"17","2021","N1","H","J4","PADEKVA",0,0
"18","2021","N1","H","J4","PADJXPA",2,0.708683386892301
"19","2021","N1","H","J4","PADEKVC",0,0
"20","2021","N1","H","J5","PADEKVD",NA,NA
"21","2021","N1","H","J5","PADEKVE",NA,NA
"22","2021","N1","H","J5","PADEKVI",3,NA
"23","2122","N1","H","J1","RADODIX",0,0
"24","2122","N1","H","J1","RADPBYY",0,0
"25","2122","N1","H","J1","RADODIZ",0,0
"26","2122","N1","H","J1","RADODJA",0,0
"27","2122","N1","H","J1","RADODJB",0,0
"28","2122","N1","H","J1","RADODJC",0,0
"29","2122","N1","H","J2","RADODJD",0,0
"30","2122","N1","H","J2","RADODJE",0,0
"31","2122","N1","H","J2","RADODJF",-2,-1.08653373420044
"32","2122","N1","H","J2","RADODJG",-2,-1.08653373420044
"33","2122","N1","H","J2","RADODJH",-2,-1.08653373420044
"34","2122","N1","H","J2","RADODJI",-2,-1.08653373420044
"35","2122","N1","H","J3","RADODJJ",0,0
"36","2122","N1","H","J3","RADPHVQ",2,0.766032346285426
"37","2122","N1","H","J3","RADODJL",-1,-0.824957911384306
"38","2122","N1","H","J3","RADODJM",2,0.766032346285426
"39","2122","N1","H","J3","RADQOJG",3,1.29636243217534
"40","2122","N1","H","J3","RADODJO",4,1.82669251806525
"41","2122","N1","H","J4","RADODJP",0,0
"42","2122","N1","H","J4","RADTDLI",-2,-0.747783722168312
"43","2122","N1","H","J4","RADODJR",1,0.40593973489137
"44","2122","N1","H","J4","RADODJS",1,0.40593973489137
"45","2122","N1","H","J4","RADODJT",-3,-1.13235820785487
"46","2122","N1","H","J4","RADODJU",-3,-1.13235820785487
"47","2122","N1","H","J5","RADODJV",2,0.539708905547016
"48","2122","N1","H","J5","RADODJW",3,0.845543952023658
"49","2122","N1","H","J5","RADPDXT",4,1.1513789985003
"50","2122","N1","H","J5","RADODJY",-2,-0.683631280359554
"51","2122","N1","H","J5","RADODJZ",3,0.845543952023658
"52","2122","N1","H","J5","RADTMXW",0,0
"53","2122","N1","H","J6","RADODKB",2,0.580641027838186
"54","2122","N1","H","J6","RADODKC",-1,-0.184105691753571
"55","2122","N1","H","J6","RADODKD",-6,-1.45868355773983
"56","2122","N1","H","J6","RADODKE",-6,-1.45868355773983
"57","2122","N1","H","J6","RADODKF",1,0.325725454640934
"58","2122","N1","H","J6","RADODKG",2,0.580641027838186
"59","2122","N1","H","J7","RADODKH",3,0.770110449711099
"60","2122","N1","H","J7","RADWKVD",1,0.200898378185504
"61","2122","N1","H","J7","RADODKJ",3,0.770110449711099
"62","2122","N1","H","J7","RADODKK",7,1.90853459276229
"63","2122","N1","H","J7","RADODKL",3,0.770110449711099
"64","2122","N1","H","J7","RADODKM",-5,-1.50673783639128
"65","2122","N1","H","J8","RADODKN",5,1.08790822397731
"66","2122","N1","H","J8","RADODKO",-2,-0.296702242902903
"67","2122","N1","H","J8","RADODKP",0,0
"68","2122","N1","H","J8","RADODKQ",0,0
"69","2122","N1","H","J8","RADODKR",-3,-0.494503738171505
"70","2122","N1","H","J8","RADODKS",-4,-0.692305233440107
"71","2122","N1","H","J9","RADODKT",5,0.818909142988166
"72","2122","N1","H","J9","RADODKU",1,0.0112179334655913
"73","2122","N1","H","J9","RADODKV",-1,-0.392627671295696
"74","2122","N1","H","J9","RADODKW",-6,-1.40224168319891
"75","2122","N1","H","J9","RADODKX",1,0.0112179334655913
"76","2122","N1","H","J9","RADODKY",12,2.23236875965267
"77","2122","N1","H","J10","RADODKZ",4,1.00320367913835
"78","2122","N1","H","J10","RADODLA",7,1.76683633042277
"79","2122","N1","H","J10","RADODLB",3,0.748659462043548
"80","2122","N1","H","J10","RADODLC",3,0.748659462043548
"81","2122","N1","H","J10","RADODLD",1,0.239571027853935
"82","2122","N1","H","J10","RADODLE",-6,-1.54223849180971
"83","2122","N1","H","J11","RADODLF",-2,-0.288741001399526
"84","2122","N1","H","J11","RADODLG",-8,-1.17971323428949
"85","2122","N1","H","J11","RADODLH",-9,-1.32820860643782
"86","2122","N1","H","J11","RADWGXF",3,0.453735859342112
"87","2122","N1","H","J11","RADODLJ",0,0
"88","2122","N1","H","J11","RADODLK",-6,-0.882722489992837
"89","2122","N1","H","J12","RADODLL",3,0.366154886121863
"90","2122","N1","H","J12","RADODLM",-2,-0.366154886121863
"91","2122","N1","H","J12","RADODLN",1,0.0732309772243727
"92","2122","N1","H","J12","RAEAFJD",-4,-0.659078795019354
"93","2122","N1","H","J12","RADODLP",-1,-0.219692931673118
"94","2122","N1","H","J12","RADODLQ",-9,-1.39138856726308
"95","2122","N1","H","J13","RADODLR",2,0.405152362123709
"96","2122","N1","H","J13","RADZMGG",-9,-1.19925099188618
"97","2122","N1","H","J13","RADODLT",-5,-0.615831590428038
"98","2122","N1","H","J13","RADODLU",5,0.842716913217315
"99","2122","N1","H","J13","RADODLV",15,2.30126541686267
"100","2122","N1","H","J13","RAEAMRH",4,0.696862062852779
"101","2122","N1","H","J14","RADODLX",10,1.35537839348781
"102","2122","N1","H","J14","RADPHVR",-5,-0.644360219854861
"103","2122","N1","H","J14","RADODLZ",3,0.422167040594564
"104","2122","N1","H","J14","RADODMA",-6,-0.777676127411039
"105","2122","N1","H","J14","RADODMB",-6,-0.777676127411039
"106","2122","N1","H","J14","RADODMC",-14,-1.84420338786046
"107","2122","N1","H","J15","RADODMD",1,-0.01878295952025
"108","2122","N1","H","J15","RADODME",10,0.995496854573252
"109","2122","N1","H","J15","RADODMF",2,0.0939147976012502
"110","2122","N1","H","J15","RADODMG",0,0
"111","2122","N1","H","J15","RADODMH",3,0.20661255472275
"112","2122","N1","H","J15","RADODMI",14,1.44628788305925
"113","2122","N1","H","J16","RADODMJ",0,0
"114","2122","N1","H","J16","RAEAQKX",-11,-1.01011729523307
"115","2122","N1","H","J16","RADODML",-11,-1.01011729523307
"116","2122","N1","H","J16","RADODMM",-3,-0.106658347943865
"117","2122","N1","H","J16","RADODMN",-10,-0.897184926821919
"118","2122","N1","H","J16","RADODMO",-3,-0.106658347943865
"119","2122","N1","H","J17","RADODMP",-10,-1.12843958616792
"120","2122","N1","H","J17","RADODMQ",0,0
"121","2122","N1","H","J17","RADODMR",10,0.829057655143778
"122","2122","N1","H","J17","RADODMS",24,2.19930572406197
"123","2122","N1","H","J17","RADODMT",-1,-0.247565827577656
"124","2122","N1","H","J17","RADODMU",-3,-0.443315551708825
"125","2122","N1","H","J18","RADODMV",4,0.528705108035559
"126","2122","N1","H","J18","RADODMW",3,0.40669623695043
"127","2122","N1","H","J18","RADODMX",-13,-1.54544570041163
"128","2122","N1","H","J18","RADODMY",-8,-0.935401344985988
"129","2122","N1","H","J18","RADODMZ",-9,-1.05741021607112
"130","2122","N1","H","J18","RADODNA",7,0.894731721290945
"131","2122","N1","H","J19","RADODNB",-9,-0.918176260764712
"132","2122","N1","H","J19","RADODNC",15,1.23754191668287
"133","2122","N1","H","J19","RADODND",-7,-0.738533079310747
"134","2122","N1","H","J19","RADODNE",-3,-0.379246716402816
"135","2122","N1","H","J19","RADODNF",2,0.0698612372320976
"136","2122","N1","H","J19","RADODNG",6,0.429147600140028
"137","2122","N1","H","J20","RADODNH",-15,-1.3129347338098
"138","2122","N1","H","J20","RADODNI",6,0.798934752914051
"139","2122","N1","H","J20","RADODNJ",1,0.296108684646467
"140","2122","N1","H","J20","RADODNK",11,1.30176082118164
"141","2122","N1","H","J20","RADODNL",5,0.698369539260534
"142","2122","N1","H","J20","RADODNM",-18,-1.61463037477036
"143","2122","N1","H","J21","RADODNO",-18,-1.74852562530812
"144","2122","N1","H","J21","RADODNP",-10,-1.02655375421316
"145","2122","N1","H","J21","RADODNQ",-5,-0.575321334778802
"146","2122","N1","H","J21","RADODNR",3,0.146650536316165
"147","2122","N1","H","J21","RADODNS",7,0.507636471863649
"148","2122","N1","H","J22","RADODNT",3,0.37276225102098
"149","2122","N1","H","J22","RADODNU",2,0.301077202747715
"150","2122","N1","H","J22","RAECAUN",26,2.02151836130608
"151","2122","N1","H","J22","RADODNW",-8,-0.415773279984939
"152","2122","N1","H","J22","RAEBTPP",-9,-0.487458328258205
"153","2122","N1","H","J22","RADODNY",8,0.731187492387307
"154","2223","N1","H","J1","SAEEEXO",0,0
"155","2223","N1","H","J1","SAEEEXP",0,0
"156","2223","N1","H","J1","SAEEEXR",0,0
"157","2223","N1","H","J1","SAEEEXT",0,0
"158","2223","N1","H","J1","SAEEEXU",0,0
"159","2223","N1","H","J2","SAEEEXV",-2,-1.24351692780124
"160","2223","N1","H","J2","SAEEEXX",0,0
"161","2223","N1","H","J2","SAEEEXY",3,2.03798607611869
"162","2223","N1","H","J2","SAEFESQ",2,1.38168547533471
"163","2223","N1","H","J2","SAEEEYA",NA,NA
"164","2223","N1","H","J2","SAEEEYB",0,0
"165","2223","N1","H","J3","SAEEEYD",-3,-1.50191185170258
"166","2223","N1","H","J3","SAEEEYE",-1,-0.441738779912523
"167","2223","N1","H","J3","SAEEEYF",-1,-0.441738779912523
"168","2223","N1","H","J3","SAEGNHG",1,0.618434291877532
"169","2223","N1","H","J3","SAEEEYH",0,0
"170","2223","N1","H","J3","SAEEEYI",NA,NA
"171","2223","N1","H","J4","SAEEEYJ",2,0.790123724406462
"172","2223","N1","H","J4","SAEEEYL",4,1.5407412625926
"173","2223","N1","H","J4","SAEEEYM",-3,-1.08642012105889
"174","2223","N1","H","J4","SAEIUEU",-4,-1.46172889015195
"175","2223","N1","H","J4","SAEEEYO",-1,-0.335802582872746
"176","2223","N1","H","J4","SAEEEYP",NA,NA
"177","2223","N1","H","J5","SAEEEYQ",-2,-0.493218290735764
"178","2223","N1","H","J5","SAEEEYR",-1,-0.118372389776583
"179","2223","N1","H","J5","SAEEEYT",-1,-0.118372389776583
"180","2223","N1","H","J5","SAEEEYU",-1,-0.118372389776583
"181","2223","N1","H","J5","SAEEEYV",NA,NA
"182","2223","N1","H","J5","SAEEEYW",-4,-1.24291009265412
"183","2223","N1","H","J6","SAEEEYX",3,1.28438565248935
"184","2223","N1","H","J6","SAEEEYY",0,0
"185","2223","N1","H","J6","SAEFBZJ",-6,-1.8531850128775
"186","2223","N1","H","J6","SAEEEZB",NA,NA
"187","2223","N1","H","J6","SAEEEZC",4,1.63300461530789
"188","2223","N1","H","J6","SAEEEZD",0,0
"189","2223","N1","H","J7","SAEFBZA",2,0.281987277814102
"190","2223","N1","H","J7","SAEEEZF",3,0.616847170218349
"191","2223","N1","H","J7","SAEEEZG",-2,-1.05745229180288
"192","2223","N1","H","J7","SAEEEZH",NA,NA
"193","2223","N1","H","J7","SAEEEZJ",-3,-1.39231218420713
"194","2223","N1","H","J7","SAEEEZK",2,0.281987277814102
"195","2223","N1","H","J8","SAEEEZL",8,1.70766156014596
"196","2223","N1","H","J8","SAEEEZM",2,0.505973795598804
"197","2223","N1","H","J8","SAEEEZN",NA,NA
"198","2223","N1","H","J8","SAEEEZO",9,1.90794285423716
"199","2223","N1","H","J8","SAEEEZP",0,0
"200","2223","N1","H","J8","SAEEEZR",1,0.305692501507611
"201","2223","N1","H","J9","SAEEEZS",-3,-0.862882428091125
"202","2223","N1","H","J9","SAEEEZT",NA,NA
"203","2223","N1","H","J9","SAEEEZU",-8,-2.00140785404469
"204","2223","N1","H","J9","SAEEEZV",1,0.0479379126717292
"205","2223","N1","H","J9","SAEEEZW",-1,-0.407472257709698
"206","2223","N1","H","J9","SAEEEZX",2,0.275642997862443
"207","2223","N1","H","J10","SAEEEZZ",NA,NA
"208","2223","N1","H","J10","SAEEFAA",8,1.42730477233773
"209","2223","N1","H","J10","SAEEFAB",2,0.363822785105697
"210","2223","N1","H","J10","SAEEFAC",-1,-0.167918208510322
"211","2223","N1","H","J10","SAEEFAD",-3,-0.522412204254334
"212","2223","N1","H","J10","SAEEFAE",5,0.895563778721716
"213","2223","N1","H","J11","SAEMNKZ",11,1.9169818260441
"214","2223","N1","H","J11","SAEEFAH",NA,NA
"215","2223","N1","H","J11","SAEEFAI",3,0.460075638250584
"216","2223","N1","H","J11","SAEEFAJ",-2,-0.450490729120363
"217","2223","N1","H","J11","SAEEFAK",-3,-0.632604002594552
"218","2223","N1","H","J11","SAEEFAM",-4,-0.814717276068742
"219","2223","N1","H","J12","SAEEFAN",10,1.85549828797362
"220","2223","N1","H","J12","SAEEFAO",-13,-2.48881207488678
"221","2223","N1","H","J12","SAEEFAP",NA,NA
"222","2223","N1","H","J12","SAEEFAQ",3,0.533316873190023
"223","2223","N1","H","J12","SAEEFAS",-2,-0.411098423083976
"224","2223","N1","H","J12","SAENGQQ",5,0.911082991699623
"225","2223","N1","H","J13","SAEMHLR",-1,-0.261323725145062
"226","2223","N1","H","J13","SAEMPNJ",-5,-1.06539672559141
"227","2223","N1","H","J13","SAEEFAW",9,1.7488587759708
"228","2223","N1","H","J13","SAEEFAY",2,0.341731025189697
"229","2223","N1","H","J13","SAEEFAZ",-10,-2.07048797614934
"230","2223","N1","H","J13","SAENALW",-1,-0.261323725145062
"231","2223","N1","H","J14","SAEOVVY",-7,-0.926925301363915
"232","2223","N1","H","J14","SAEEFBC",0,0
"233","2223","N1","H","J14","SAEEFBE",12,2.20036473407883
"234","2223","N1","H","J14","SAEEFBF",NA,NA
"235","2223","N1","H","J14","SAEEFBG",-4,-0.433142664188745
"236","2223","N1","H","J14","SAEEFBH",-5,-0.597736876580469
"237","2223","N1","H","J15","SAEEFBI",1,-0.00727947377194946
"238","2223","N1","H","J15","SAEMWWH",-3,-0.560519480440109
"239","2223","N1","H","J15","SAEEFBL",10,1.23751054123141
"240","2223","N1","H","J15","SAEEFBM",-8,-1.25206948877531
"241","2223","N1","H","J15","SAEEFBN",NA,NA
"242","2223","N1","H","J15","SAEEFBO",8,0.96089053789733
"243","2223","N1","H","J16","SAEEFBQ",1,0.329404764102321
"244","2223","N1","H","J16","SAEEFBR",-7,-0.713710322221696
"245","2223","N1","H","J16","SAEPRLN",-1,0.068625992521317
"246","2223","N1","H","J16","SAEEFBT",-2,-0.0617633932691853
"247","2223","N1","H","J16","SAENGIE",8,1.24213046463584
"248","2223","N1","H","J16","SAEEFBV",NA,NA
"249","2223","N1","H","J17","SAEEFBW",1,-0.291568656788973
"250","2223","N1","H","J17","SAEEFBY",3,0.00788023396726957
"251","2223","N1","H","J17","SAEEFBZ",-4,-1.04019088367958
"252","2223","N1","H","J17","SAEEFCA",1,-0.291568656788973
"253","2223","N1","H","J17","SAEEFCB",7,0.606778015479755
"254","2223","N1","H","J17","SAEEFCC",NA,NA
"255","2223","N1","H","J18","SAEEFCD",-6,-0.462516920261317
"256","2223","N1","H","J18","SAEEFCE",-8,-0.776367687581497
"257","2223","N1","H","J18","SAEQJGS",-5,-0.305591536601227
"258","2223","N1","H","J18","SAERCIW",-4,-0.148666152941138
"259","2223","N1","H","J18","SAEEFCI",NA,NA
"260","2223","N1","H","J18","SAEEFCJ",7,1.57751306731985
"261","2223","N1","H","J19","SAEEFCK",-5,-0.805806804108117
"262","2223","N1","H","J19","SAEEFCL",-12,-1.62391600217208
"263","2223","N1","H","J19","SAEFBZK",8,0.713538849439249
"264","2223","N1","H","J19","SAEEFCO",NA,NA
"265","2223","N1","H","J19","SAEEFCP",-13,-1.74078874475265
"266","2223","N1","H","J19","SAEPZQH",0,0
"267","2223","N1","H","J20","SAEFBYZ",-5,-0.14173667737846
"268","2223","N1","H","J20","SAEEFCS",1,0.708683386892301
"269","2223","N1","H","J20","SAEEFCT",5,1.27563009640614
"270","2223","N1","H","J20","SAEEFCU",NA,NA
"271","2223","N1","H","J20","SAEEFCW",-5,-0.14173667737846
"272","2223","N1","H","J20","SAEEFCX",5,1.27563009640614
"273","2223","N1","H","J21","SAEEFCY",-5,-0.664855247859528
"274","2223","N1","H","J21","SAEEFCZ",11,0.832300273246372
"275","2223","N1","H","J21","SAEEFDA",NA,NA
"276","2223","N1","H","J21","SAEEFDB",-22,-2.25558298903455
"277","2223","N1","H","J21","SAEEFDC",12,0.925872493315491
"278","2223","N1","H","J21","SAEEFDE",-2,-0.384138587652172
"279","2223","N1","H","J22","SAEEFDG",NA,NA
"280","2223","N1","H","J22","SAEEFDH",7,1.10445541011592
"281","2223","N1","H","J22","SAEEFDI",0,0
"282","2223","N1","H","J22","SAEEFDJ",13,1.81871399869389
"283","2223","N1","H","J22","SAEEFDK",-7,-0.562147963232656
"284","2223","N1","H","J23","SAEEFDM",NA,NA
"285","2223","N1","H","J23","SAEEFDN",-20,-1.60652692915294
"286","2223","N1","H","J23","SAEEFDO",4,0.606694459649902
"287","2223","N1","H","J23","SAEEFDP",0,0
"288","2223","N1","H","J23","SAEEFDQ",-5,-0.223263561151164
"289","2223","N1","H","J23","SAEEFDR",-10,-0.68435135048509
"290","2223","N1","H","J24","SAEFQVU",-16,-1.38487946546188
"291","2223","N1","H","J24","SAEEFDU",NA,NA
"292","2223","N1","H","J24","SAEEFDV",11,0.944018182339064
"293","2223","N1","H","J24","SAEEFDW",3,0.253974434842489
"294","2223","N1","H","J24","SAEEFDX",NA,NA
"295","2223","N1","H","J24","SAEEFDZ",-1,-0.091047438905798
"296","2223","N1","H","J25","SAEEFEA",NA,NA
"297","2223","N1","H","J25","SAEEFEB",NA,NA
"298","2223","N1","H","J25","SAEEFEC",NA,NA
"299","2223","N1","H","J25","SAEEFED",NA,NA
"300","2223","N1","H","J25","SAEEFEF",NA,NA
"301","2223","N1","H","J25","SAEEFEG",NA,NA
"302","2223","N1","H","J26","SAEEFEH",NA,NA
"303","2223","N1","H","J26","SAEEFEI",NA,NA
"304","2223","N1","H","J26","SAEEFEJ",NA,NA
"305","2223","N1","H","J26","SAEEFEL",NA,NA
"306","2223","N1","H","J26","SAEEFEM",NA,NA
"307","2223","N1","H","J26","SAEEFEN",NA,NA
"308","2324","N1","H","J1","TAEUMXS",0,0
"309","2324","N1","H","J1","TAEUMXT",0,0
"310","2324","N1","H","J1","TAEUMXU",0,0
"311","2324","N1","H","J1","TAEUMXV",0,0
"312","2324","N1","H","J1","TAEUMXW",0,0
"313","2324","N1","H","J1","TAEUMXX",0,0
"314","2324","N1","H","J2","TAEUMXY",-1,-0.869226987360353
"315","2324","N1","H","J2","TAEUMXZ",0,0
"316","2324","N1","H","J2","TAEUMYA",-1,-0.869226987360353
